model,feature,importance,anomesdia_datetime
DecisionTreeClassifier,Sex_male,0.27535941387395946,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Age,0.2528281240547403,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Fare,0.24607457002573632,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Pclass_3,0.09304569477278646,2021-05-09 18:52:37.704882
DecisionTreeClassifier,SibSp,0.06107335127944697,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Pclass_1,0.023633148221042555,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Parch,0.016675139806812397,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Embarked_C,0.012153455260048532,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Pclass_2,0.0086518463742663,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Embarked_S,0.005386685960989557,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Embarked_Q,0.005118570370171073,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Pclass_nan,0.0,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Sex_female,0.0,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Sex_nan,0.0,2021-05-09 18:52:37.704882
DecisionTreeClassifier,Embarked_nan,0.0,2021-05-09 18:52:37.704882
RandomForestClassifier,Age,0.2785562407348985,2021-05-09 18:52:37.722371
RandomForestClassifier,Fare,0.24984560074456313,2021-05-09 18:52:37.722371
RandomForestClassifier,Sex_female,0.13106218553113366,2021-05-09 18:52:37.722371
RandomForestClassifier,Sex_male,0.12038159902339872,2021-05-09 18:52:37.722371
RandomForestClassifier,Pclass_3,0.058246940034462014,2021-05-09 18:52:37.722371
RandomForestClassifier,SibSp,0.04773868469433125,2021-05-09 18:52:37.722371
RandomForestClassifier,Parch,0.039532282476716224,2021-05-09 18:52:37.722371
RandomForestClassifier,Pclass_1,0.02470831082280472,2021-05-09 18:52:37.722371
RandomForestClassifier,Pclass_2,0.015348423111951233,2021-05-09 18:52:37.722371
RandomForestClassifier,Embarked_C,0.014481405071858132,2021-05-09 18:52:37.722371
RandomForestClassifier,Embarked_S,0.012388226301167489,2021-05-09 18:52:37.722371
RandomForestClassifier,Embarked_Q,0.007408595527078186,2021-05-09 18:52:37.722371
RandomForestClassifier,Embarked_nan,0.00030150592563666506,2021-05-09 18:52:37.722371
RandomForestClassifier,Pclass_nan,0.0,2021-05-09 18:52:37.722371
RandomForestClassifier,Sex_nan,0.0,2021-05-09 18:52:37.722371
