model,approach,class,accuracy,precision,recall,f1-score,total_time,anomesdia_datetime
SVC,Treino 5 K-folds,setosa,0.95,1.0,1.0,1.0,0.028,2021-04-17 16:41:08.826665
SVC,Treino 5 K-folds,versicolor,0.95,0.9487179487179487,0.9024390243902439,0.9249999999999999,0.028,2021-04-17 16:41:08.826665
SVC,Treino 5 K-folds,virginica,0.95,0.9024390243902439,0.9487179487179487,0.9249999999999999,0.028,2021-04-17 16:41:08.826665
SVC,Validation set,setosa,1.0,1.0,1.0,1.0,0.011,2021-04-17 16:41:08.826665
SVC,Validation set,versicolor,1.0,1.0,1.0,1.0,0.011,2021-04-17 16:41:08.826665
SVC,Validation set,virginica,1.0,1.0,1.0,1.0,0.011,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Treino 5 K-folds,setosa,0.9416666666666667,1.0,1.0,1.0,0.026,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Treino 5 K-folds,versicolor,0.9416666666666667,0.9047619047619048,0.926829268292683,0.9156626506024096,0.026,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Treino 5 K-folds,virginica,0.9416666666666667,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.026,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Validation set,setosa,1.0,1.0,1.0,1.0,0.015,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Validation set,versicolor,1.0,1.0,1.0,1.0,0.015,2021-04-17 16:41:08.826665
DecisionTreeClassifier,Validation set,virginica,1.0,1.0,1.0,1.0,0.015,2021-04-17 16:41:08.826665
RandomForestClassifier,Treino 5 K-folds,setosa,0.9416666666666667,1.0,1.0,1.0,0.584,2021-04-17 16:41:08.826665
RandomForestClassifier,Treino 5 K-folds,versicolor,0.9416666666666667,0.9047619047619048,0.926829268292683,0.9156626506024096,0.584,2021-04-17 16:41:08.826665
RandomForestClassifier,Treino 5 K-folds,virginica,0.9416666666666667,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.584,2021-04-17 16:41:08.826665
RandomForestClassifier,Validation set,setosa,1.0,1.0,1.0,1.0,0.02,2021-04-17 16:41:08.826665
RandomForestClassifier,Validation set,versicolor,1.0,1.0,1.0,1.0,0.02,2021-04-17 16:41:08.826665
RandomForestClassifier,Validation set,virginica,1.0,1.0,1.0,1.0,0.02,2021-04-17 16:41:08.826665
